X,Y,fid,NOM,PHOTO,Adresse,Code Postal,Commune,ERP CAT,ERP TYPE,N° CADASTRE,CADASTRE,Qualité Juridique d'occupation,DATE ACTE PRIMITIF CADASTRE,ANNÉE DE CONSTRUCTION,PMR ACCES,PLACES PARKING,ESPACE VERT EN M²,SURFACE BATIMENT M²,loyer,SURFACE PARCELLE M²,LIEN CARTE GOOGLE,EAU,ELEC,GAZ,Y,X,icon_url
3.9773855,46.4803112,"11",CENTRE DE SANTE DIGOIN,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\CDS DIGOIN 71.png,31 RUE NATIONALE,"71160",DIGOIN,"5",W,BN-255,OBERTHI,Locataire,24/09/1997,RENOVATION 2018,OUI,COMMUNE 3 PLACES + 50 PARKING MAINAUDS,"0","260",   LOCATION BAT ENTIER 12335.04  TTC                             ,"287",https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.48047419406869%2C3.977215850279805&z=20,X,"12171345827500 1ER ETAGE
12171635263135 2EME ETAGE
12171490545377

",,46.4803112,3.9773855,./0.png
3.955621,46.4738836,"12",CENTRE TECHNIQUE ANNEXE  MOLINET,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\ANNEXE CT MOLINET.png,"49, Route de Digoin","3510",MOLINET,X,X,AH-18,COMMUNAUTE DE COMMUNE LE VAL DE LOIRE,,21/12/2000,AVANT 1900,,,,2 715, X ,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.47392876833441%2C3.955788233590889&z=20,X,X,"Bat technique (atelier n°3) Molinet 17357742398254
Bat technique (atelier n°8)   7 et 8 Molinet 17334008679838
",46.4738836,3.955621,./0.png
3.9559791,46.4737977,"13",CENTRE TECHNIQUE MOLINET,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\CT MOLINET.png,"49, Route de Digoin","3510",MOLINET,"5",W,AH-18,COMMUNAUTE DE COMMUNE LE VAL DE LOIRE,propriétaire occupant,21/12/2000,REHABILITATION 1990 & 2004,NON,40+1 PMR,3 500,2 360, X ,5 867,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.47406143761101%2C3.9558348839391533&z=20,X,".17357600000000",,46.4737977,3.9559791,./0.png
3.9758057,46.4799738,"19",DOCK 713,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\DOCK 713.png,"8, quai de la Loire","71160",DIGOIN,"4",LX,BN-504,COMMUNE DE DIGOIN CC LE GRAND CHAROLAIS,propriétaire occupant,03/07/1995,RENOVATION 2017,OUI,"0","0","775",,"383",https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.48108011770147%2C3.974817569787965&z=18,X,500 359 992 43 248   (108 kW), ,46.4799738,3.9758057,./0.png
4.2753221,46.437138,"20",ECOLE DE MUSIQUE CHAROLLES,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\CENTRE LOISIRS ECOLE MUSIQUE CHAROLLES.png,17 rue des Provins,71 120,CHAROLLES,"4",RLW,AC24,COMMUNAUTE DE COMMUNES CANTON DE CHAROLLES,propriétaire occupant,18/04/2005,REHANILITATION 2007-2008,OUI,1 PMR,"180","940",,1 632,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.43777198693449%2C4.275415977315502&z=18,X,".12130000000000",".12130100000000",46.437138,4.2753221,./0.png
4.1181081,46.4545088,"21",ECOLE DE MUSIQUE PARAY LE MONIAL,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\ECOLE MUSIQUE PLM.png,"24, rue Louis Desrichard","71600",PARAY LE MONIAL,"4",R / L,AH-476,COMMUNE DE PARAY LE MONIAL,Propriétaire occupant,01/01/1970,1970 REHABILITATION 2009-2010,NON,"5",1 840,1 152,,9 973,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.4550853597477%2C4.116745504685211&z=18,X,".12182200000000",".12176100000000",46.4545088,4.1181081,./0.png
3.985636,46.482186,"22",ECOLE MUSIQUE DIGOIN,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\ECOLE MUSIQUE DIGOIN.png,14 PLACE DE M HOTEL DE VILLE,"71600",DIGOIN,,,BM-295,COMMUNE DE DIGOIN,Occupant à titre gratuit,10/11/1981,1 952,?,parking public,400 ?,1 285,,2 064,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.48289505438092%2C3.9864279637561273&z=18,X,.121 846 598 931 01,".12184800000000",46.482186,3.985636,./0.png
3.98933,46.48493,"23",FAIENCERIE HANGAR DIGOIN,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\FAIENCERIE DIGOIN.png,RUE DE LA FAIENCERIE,"71600",DIGOIN,,,AZ 510,SARREGUEMINES INTERNATIONAL,,,,,,,,,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.48704385036636%2C3.9950939308133604&z=19, ,,,46.48493,3.98933,./0.png
3.98933,46.48493,"24",FAIENCERIE MAGASIN DIGOIN,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\FAIENCERIE DIGOIN.png,RUE DE LA FAIENCERIE,"71600",DIGOIN,,,AZ 510,SARREGUEMINES INTERNATIONAL,,,,,,,6 693,,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.48704385036636%2C3.9950939308133604&z=19, ,,,46.48493,3.98933,./0.png
4.4373598,46.4839846,"25",GARAGE DU STADE ST BONNET DE JOUX,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\GARAGE SBJ.png,Route de Génelard,"71220",ST BONNET DE JOUX,"5",R,AH-15,COM DE COMMUNE DE PARAY,Propriétaire non occupant,22/12/2016,INCONNU,NON,1 DEVANT + 6 A COTE COMMUNE,"750","200","7 200,00 ",1 029,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.485868550810736%2C4.435804345444807&z=17,X,X,,46.4839846,4.4373598,./0.png
4.3065419,46.4417473,"32",HOTEL DES ENTREPRISES Cellule 1,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HOTEL DES ENTREPRISES.png,Parc d'activités du Charolais,"71120",CHAROLLES,X,X,A-778,CC DU CHAROLAIS,SARAH MORVAN VESSELY,19/09/2016,31/07/2017,OUI,11+2 PMR,3 000,CELLULE1,"3 000,00 ",4 477,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.4433464250192%2C4.305603965501397&z=17,X,".12160600000000",,46.4417473,4.3065419,./0.png
4.3065419,46.4417473,"33",HOTEL DES ENTREPRISES Cellule 2,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HOTEL DES ENTREPRISES.png,Parc d'activités du Charolais,"71120",CHAROLLES,X,X,A-778,CC DU CHAROLAIS,KURA,,,,,,CELLULE2,"10 800,00 ",,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.4433464250192%2C4.305603965501397&z=17, ,,X,46.4417473,4.3065419,./0.png
4.3065419,46.4417473,"34",HOTEL DES ENTREPRISES Cellule 3,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HOTEL DES ENTREPRISES.png,Parc d'activités du Charolais,"71120",CHAROLLES,X,X,A-778,CC DU CHAROLAIS,,,,,,,CELLULE3,,,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.4433464250192%2C4.305603965501397&z=17, ,,,46.4417473,4.3065419,./0.png
4.3065419,46.4417473,"35",HOTEL DES ENTREPRISES Cellule 4,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HOTEL DES ENTREPRISES.png,Parc d'activités du Charolais,"71120",CHAROLLES,X,X,A-778,CC DU CHAROLAIS,ALPHA NEGOCE,,,,,,CELLULE4,"10 800,00 ",,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.4433464250192%2C4.305603965501397&z=17, ,,,46.4417473,4.3065419,./0.png
4.3065419,46.4417473,"36",HOTEL DES ENTREPRISES Cellule 5,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HOTEL DES ENTREPRISES.png,Parc d'activités du Charolais,"71120",CHAROLLES,X,X,A-778,CC DU CHAROLAIS,,,,,,,CELLULE5,,,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.4433464250192%2C4.305603965501397&z=17, ,,,46.4417473,4.3065419,./0.png
4.3065419,46.4417473,"37",HOTEL DES ENTREPRISES Cellule 6,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HOTEL DES ENTREPRISES.png,Parc d'activités du Charolais,"71120",CHAROLLES,X,X,A-778,CC DU CHAROLAIS,INGEPRO (jusque 31/10/2020) MAPSPRO (du 01/11/2020 au 01/11/2021),,,,,,CELLULE6,"5 400,00 ",,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.4433464250192%2C4.305603965501397&z=17, ,,,46.4417473,4.3065419,./0.png
4.3065419,46.4417473,"38",HOTEL DES ENTREPRISES Charolles,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HOTEL DES ENTREPRISES.png,Parc d'activités du Charolais,"71120",CHAROLLES,X,X,A-778,CC DU CHAROLAIS,Propriétaire non occupant,,,,,,"742", LOYER DES OCCUPANTS ,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.4416502580296%2C4.30720278750131&z=19, ,".12159900000000",,46.4417473,4.3065419,./0.png
3.9977785,46.484526,"39",LA POSTE CENTRE DE TRI Digoin,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\CENTRE TRIE DIGOIN LA POSTE.png,"2, Rue Alsace Lorraine","71160",DIGOIN,"5",W,BD-61,COMMUNAUTE DE COMMUNE LE VAL DE LOIRE,Propriétaire non occupant,19/10/2000,2 003,OUI,,,"470","29 320,44 ",2 077,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.48537182854362%2C3.9977861956794047&z=18,X,X,,46.484526,3.9977785,./0.png
3.9882386,46.483427,"40",LES CANALOUS BUREAU DIGOIN,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\CAPITAINERIE.png,"Rue du Port Campionnet Rive droite, ","71160",DIGOIN,X,X,BT 175,CC LE GRAND CHAROLAIS,Propriétaire non occupant,,INCONNU,NON,,,,,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.4836226119445%2C3.987878019660358&z=19,X,X,,46.483427,3.9882386,./0.png
3.9882145,46.4832313,"41",LES CANALOUS DIGOIN,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\LES CANALOUS.png,"Rue du Port Campionnet Rive droite, ","71160",DIGOIN,X,X,BT 175,CC LE GRAND CHAROLAIS,Propriétaire non occupant,,INCONNU,NON,,,,"4 020,32 ",,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.4836226119445%2C3.987878019660358&z=19,X,X,,46.4832313,3.9882145,./0.png
3.9882386,46.483427,"42",LES CANALOUS HANGAR PORT DE PLAISANCE DIGOIN,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HANGAR PORT DE PLAISANCE.png,"Rue du Port Campionnet Rive droite, ","71600",DIGOIN,X,X,BT 175,CC LE GRAND CHAROLAIS,Propriétaire non occupant,,INCONNU,NON,,,,"3 271,08 ",,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.4836226119445%2C3.987878019660358&z=19,X,X,,46.483427,3.9882386,./0.png
3.9882145,46.4832313,"43",LES CANALOUS MAISON DU BATEAU DIGOIN,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\LA MAISON DU BATEAU.png,"Rue du Port Campionnet Rive droite, ","71160",DIGOIN,X,X,BT-175 BATIMENTS      .                    BM65 + BM66 PARKING,DIRECTION IMMOBILIER DE L ETAT,Propriétaire non occupant,14/04/2014,INCONNU,NON,11+1 PMR,3 000,1 839,"8 275,92 ",,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.48332318059995%2C3.9882725807364094&z=20,X,X,,46.4832313,3.9882145,./0.png
4.2757276,46.4366662,"44",LES PETITS TEMERAIRES MULTI ACCUEIL CHAROLLES,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\MULTI ACC + RIAM CHAROLLES.png,"5,esplanade des Provins",71 120,CHAROLLES,"5",R,AC-78,LES COPROPRIETAIRES,Propriétaire occupant,19/01/2015,2 016,OUI,7+1 PMR DEVANT + PARKING CO PRO,"70","140", X ,"375",https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.43824647754636%2C4.273870560435475&z=17,X,".12105600000000",X,46.4366662,4.2757276,./0.png
4.2749096,46.4366089,"45",MAISON DE SANTE DE L ARCONCE CHAROLLES,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\MAISON DE SANTE CHAROLLES.png,"16, rue des Provins","71120",CHAROLLES,"5",W,AC-254 et 257,LES COPROPRIETAIRES,Propriétaire non occupant,12/12/2012,2 014,OUI,COMMUNE + COPRO 50+2 PMR,"0","600","26 194,46 ","285",https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.43824647754636%2C4.273870560435475&z=17,X,X,X,46.4366089,4.2749096,./0.png
3.97644,46.48131,"46",MAISON DE SANTE DIGOIN MEDECIN PREVENTION,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\MEDECIN PREVENTION.png,14 PLACE DE M HOTEL DE VILLE,"71160",DIGOIN,,,BN - 273,COMMUNE DE DIGOIN,OCCUPANT ,,,,,,"20",,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.481410122373774%2C3.976770200000006&z=18, ,,,46.48131,3.97644,./0.png
3.9981889,46.4842102,"47",MFI (MAISON FORMATION INSERTION) DIGOIN,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\MFI.png,"2, Rue Alsace Lorraine","71160",DIGOIN,"5",R,BD-50,CC LE GRAND CHAROLAIS,Propriétaire non occupant,19/10/2000,RENO EN 2003,OUI,2 PMR + 83 ,5 870,"887", IFPA 8525.84                  GRETA MFI 11110.48 ,5 006,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.48475499133497%2C3.999003918572166&z=18,X,X,".12107400000000",46.4842102,3.9981889,./0.png
3.9977034,46.4838205,"48",MFI ANNEXE DIGOIN,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\ANNEXE MFI.png,"55, rue de la Plaine","71160",DIGOIN,"5",R,BD-50,CC LE GRAND CHAROLAIS,Propriétaire non occupant,19/10/2000,RENO INT 2014,OUI,,,"220", MISSION LOCALE 6000 GRETA ANNEXE MFI 1500 ,,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.48475499133497%2C3.999003918572166&z=18,X,X,".12166400000000",46.4838205,3.9977034,./0.png
4.4385749,46.4835468,"49",MICRO CRECHE - RIAM LES P TITS LOUPS ST BONNET DE JOUX,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\MIC ST BONNET DE JOUX.png,"140, Route de Génelard","71220",ST BONNET DE JOUX,"5",R,AE-233,CC DU CHAROLAIS,Propriétaire occupant,07/11/2016,2 017,OUI,10  + 1 PMR,"180","234",,"951",https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.484059258835956%2C4.437820821186871&z=18,X,".12132600000000",,46.4835468,4.4385749,./0.png
4.2297489,46.3659224,"50",MICRO CRECHE LES LUCIOLES EN CHAROLAIS ST JULIEN DE CIVRY,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\MIC SJC.png,le bourg,"71800",ST JULIEN de Civry,"5",R,C-233,COMMUNE DE ST JULIEN EN CIVRY,Occupant à titre gratuit,01/01/1985,INCONNU,NON,"8","470","88",MIS A DISPO PAR LA VILLE,6 382,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.36720226741885%2C4.229593022611864&z=17,X,X,,46.3659224,4.2297489,./0.png
4.2757682,46.4347761,"51",OFFICE DU TOURISME CHAROLLES,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\OT CHAROLLES.png,"24, rue Baudinot","71120",CHAROLLES,X,X,AI-67,COMMUNE DE CHAROLLES,Occupant à titre gratuit,01/01/1970,XVI EME SIECLE,NON,10 COMMUNE,"0","45",MIS A DISPO PAR LA VILLE,"400",https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.436624986990346%2C4.275919768122853&z=17,X,X,?,46.4347761,4.2757682,./0.png
