X,Y,fid,NOM,Adresse,Code Postal,Commune,N° CADASTRE,PHOTO,ERP CAT,ERP TYPE,CADASTRE,Qualité Juridique d'occupation,DATE ACTE PRIMITIF CADASTRE,ANNÉE DE CONSTRUCTION,PMR ACCES,PLACES PARKING,ESPACE VERT EN M²,SURFACE BATIMENT M²,loyer,SURFACE PARCELLE M²,LIEN CARTE GOOGLE,EAU,ELEC,GAZ,Y,X,icon_url
4.1202129,46.4460828,"31",HALTE NAUTIQUE PARAY LE MONIAL,quai tabarly,"71600",PARAY LE MONIAL,?,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HN PLM.png,X,X,X,domaine public fluvial,?,?,OUI,"0","0","0", PAS DE COTISATION recettes 481  ,"0",https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.44626549313002%2C4.119708258563404&z=19,X,X,,46.4460828,4.1202129,./0.png
4.3065419,46.4417473,"32",HOTEL DES ENTREPRISES Cellule 1,Parc d'activités du Charolais,"71120",CHAROLLES,A-778,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HOTEL DES ENTREPRISES.png,X,X,CC DU CHAROLAIS,SARAH MORVAN VESSELY,19/09/2016,31/07/2017,OUI,11+2 PMR,3 000,CELLULE1,"3 000,00 ",4 477,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.4433464250192%2C4.305603965501397&z=17,X,".12160600000000",,46.4417473,4.3065419,./0.png
4.3065419,46.4417473,"33",HOTEL DES ENTREPRISES Cellule 2,Parc d'activités du Charolais,"71120",CHAROLLES,A-778,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HOTEL DES ENTREPRISES.png,X,X,CC DU CHAROLAIS,KURA,,,,,,CELLULE2,"10 800,00 ",,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.4433464250192%2C4.305603965501397&z=17, ,,X,46.4417473,4.3065419,./0.png
4.3065419,46.4417473,"34",HOTEL DES ENTREPRISES Cellule 3,Parc d'activités du Charolais,"71120",CHAROLLES,A-778,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HOTEL DES ENTREPRISES.png,X,X,CC DU CHAROLAIS,,,,,,,CELLULE3,,,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.4433464250192%2C4.305603965501397&z=17, ,,,46.4417473,4.3065419,./0.png
4.3065419,46.4417473,"35",HOTEL DES ENTREPRISES Cellule 4,Parc d'activités du Charolais,"71120",CHAROLLES,A-778,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HOTEL DES ENTREPRISES.png,X,X,CC DU CHAROLAIS,ALPHA NEGOCE,,,,,,CELLULE4,"10 800,00 ",,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.4433464250192%2C4.305603965501397&z=17, ,,,46.4417473,4.3065419,./0.png
4.3065419,46.4417473,"36",HOTEL DES ENTREPRISES Cellule 5,Parc d'activités du Charolais,"71120",CHAROLLES,A-778,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HOTEL DES ENTREPRISES.png,X,X,CC DU CHAROLAIS,,,,,,,CELLULE5,,,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.4433464250192%2C4.305603965501397&z=17, ,,,46.4417473,4.3065419,./0.png
4.3065419,46.4417473,"37",HOTEL DES ENTREPRISES Cellule 6,Parc d'activités du Charolais,"71120",CHAROLLES,A-778,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HOTEL DES ENTREPRISES.png,X,X,CC DU CHAROLAIS,INGEPRO (jusque 31/10/2020) MAPSPRO (du 01/11/2020 au 01/11/2021),,,,,,CELLULE6,"5 400,00 ",,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.4433464250192%2C4.305603965501397&z=17, ,,,46.4417473,4.3065419,./0.png
4.3065419,46.4417473,"38",HOTEL DES ENTREPRISES Charolles,Parc d'activités du Charolais,"71120",CHAROLLES,A-778,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HOTEL DES ENTREPRISES.png,X,X,CC DU CHAROLAIS,Propriétaire non occupant,,,,,,"742", LOYER DES OCCUPANTS ,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.4416502580296%2C4.30720278750131&z=19, ,".12159900000000",,46.4417473,4.3065419,./0.png
3.9977785,46.484526,"39",LA POSTE CENTRE DE TRI Digoin,"2, Rue Alsace Lorraine","71160",DIGOIN,BD-61,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\CENTRE TRIE DIGOIN LA POSTE.png,"5",W,COMMUNAUTE DE COMMUNE LE VAL DE LOIRE,Propriétaire non occupant,19/10/2000,2 003,OUI,,,"470","29 320,44 ",2 077,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.48537182854362%2C3.9977861956794047&z=18,X,X,,46.484526,3.9977785,./0.png
3.9882386,46.483427,"40",LES CANALOUS BUREAU DIGOIN,"Rue du Port Campionnet Rive droite, ","71160",DIGOIN,BT 175,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\CAPITAINERIE.png,X,X,CC LE GRAND CHAROLAIS,Propriétaire non occupant,,INCONNU,NON,,,,,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.4836226119445%2C3.987878019660358&z=19,X,X,,46.483427,3.9882386,./0.png
3.9882145,46.4832313,"41",LES CANALOUS DIGOIN,"Rue du Port Campionnet Rive droite, ","71160",DIGOIN,BT 175,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\LES CANALOUS.png,X,X,CC LE GRAND CHAROLAIS,Propriétaire non occupant,,INCONNU,NON,,,,"4 020,32 ",,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.4836226119445%2C3.987878019660358&z=19,X,X,,46.4832313,3.9882145,./0.png
3.9882386,46.483427,"42",LES CANALOUS HANGAR PORT DE PLAISANCE DIGOIN,"Rue du Port Campionnet Rive droite, ","71600",DIGOIN,BT 175,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\HANGAR PORT DE PLAISANCE.png,X,X,CC LE GRAND CHAROLAIS,Propriétaire non occupant,,INCONNU,NON,,,,"3 271,08 ",,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.4836226119445%2C3.987878019660358&z=19,X,X,,46.483427,3.9882386,./0.png
3.9882145,46.4832313,"43",LES CANALOUS MAISON DU BATEAU DIGOIN,"Rue du Port Campionnet Rive droite, ","71160",DIGOIN,BT-175 BATIMENTS      .                    BM65 + BM66 PARKING,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\LA MAISON DU BATEAU.png,X,X,DIRECTION IMMOBILIER DE L ETAT,Propriétaire non occupant,14/04/2014,INCONNU,NON,11+1 PMR,3 000,1 839,"8 275,92 ",,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.48332318059995%2C3.9882725807364094&z=20,X,X,,46.4832313,3.9882145,./0.png
4.2757276,46.4366662,"44",LES PETITS TEMERAIRES MULTI ACCUEIL CHAROLLES,"5,esplanade des Provins",71 120,CHAROLLES,AC-78,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\MULTI ACC + RIAM CHAROLLES.png,"5",R,LES COPROPRIETAIRES,Propriétaire occupant,19/01/2015,2 016,OUI,7+1 PMR DEVANT + PARKING CO PRO,"70","140", X ,"375",https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.43824647754636%2C4.273870560435475&z=17,X,".12105600000000",X,46.4366662,4.2757276,./0.png
4.2749096,46.4366089,"45",MAISON DE SANTE DE L ARCONCE CHAROLLES,"16, rue des Provins","71120",CHAROLLES,AC-254 et 257,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\MAISON DE SANTE CHAROLLES.png,"5",W,LES COPROPRIETAIRES,Propriétaire non occupant,12/12/2012,2 014,OUI,COMMUNE + COPRO 50+2 PMR,"0","600","26 194,46 ","285",https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.43824647754636%2C4.273870560435475&z=17,X,X,X,46.4366089,4.2749096,./0.png
3.97644,46.48131,"46",MAISON DE SANTE DIGOIN MEDECIN PREVENTION,14 PLACE DE M HOTEL DE VILLE,"71160",DIGOIN,BN - 273,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\MEDECIN PREVENTION.png,,,COMMUNE DE DIGOIN,OCCUPANT ,,,,,,"20",,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.481410122373774%2C3.976770200000006&z=18, ,,,46.48131,3.97644,./0.png
3.9981889,46.4842102,"47",MFI (MAISON FORMATION INSERTION) DIGOIN,"2, Rue Alsace Lorraine","71160",DIGOIN,BD-50,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\MFI.png,"5",R,CC LE GRAND CHAROLAIS,Propriétaire non occupant,19/10/2000,RENO EN 2003,OUI,2 PMR + 83 ,5 870,"887", IFPA 8525.84                  GRETA MFI 11110.48 ,5 006,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.48475499133497%2C3.999003918572166&z=18,X,X,".12107400000000",46.4842102,3.9981889,./0.png
3.9977034,46.4838205,"48",MFI ANNEXE DIGOIN,"55, rue de la Plaine","71160",DIGOIN,BD-50,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\ANNEXE MFI.png,"5",R,CC LE GRAND CHAROLAIS,Propriétaire non occupant,19/10/2000,RENO INT 2014,OUI,,,"220", MISSION LOCALE 6000 GRETA ANNEXE MFI 1500 ,,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.48475499133497%2C3.999003918572166&z=18,X,X,".12166400000000",46.4838205,3.9977034,./0.png
4.4385749,46.4835468,"49",MICRO CRECHE - RIAM LES P TITS LOUPS ST BONNET DE JOUX,"140, Route de Génelard","71220",ST BONNET DE JOUX,AE-233,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\MIC ST BONNET DE JOUX.png,"5",R,CC DU CHAROLAIS,Propriétaire occupant,07/11/2016,2 017,OUI,10  + 1 PMR,"180","234",,"951",https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.484059258835956%2C4.437820821186871&z=18,X,".12132600000000",,46.4835468,4.4385749,./0.png
4.2297489,46.3659224,"50",MICRO CRECHE LES LUCIOLES EN CHAROLAIS ST JULIEN DE CIVRY,le bourg,"71800",ST JULIEN de Civry,C-233,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\MIC SJC.png,"5",R,COMMUNE DE ST JULIEN EN CIVRY,Occupant à titre gratuit,01/01/1985,INCONNU,NON,"8","470","88",MIS A DISPO PAR LA VILLE,6 382,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.36720226741885%2C4.229593022611864&z=17,X,X,,46.3659224,4.2297489,./0.png
4.2757682,46.4347761,"51",OFFICE DU TOURISME CHAROLLES,"24, rue Baudinot","71120",CHAROLLES,AI-67,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\OT CHAROLLES.png,X,X,COMMUNE DE CHAROLLES,Occupant à titre gratuit,01/01/1970,XVI EME SIECLE,NON,10 COMMUNE,"0","45",MIS A DISPO PAR LA VILLE,"400",https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.436624986990346%2C4.275919768122853&z=17,X,X,?,46.4347761,4.2757682,./0.png
3.9761346,46.4803216,"52",OFFICE DU TOURISME DIGOIN,"7, Rue Nationale","71160",DIGOIN,BN-246,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\OT DIG.png,"5",M,COMMUNAUTE DE COMMUNE LE VAL DE LOIRE,CO-propriétaire occupant,01/01/1984,RÉHABILITATION 2014,OUI,5 COMMUNE,"0","150",,"569",https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.481158225082275%2C3.9753232372955516&z=18,X,X,".12174000000000",46.4803216,3.9761346,./0.png
4.1192435,46.4559169,"53",PAYS CHAROLAIS BRIONNAIS BATIMENT CHAMP SEIGNEUR,"7, rue des Champs Seigneur","71600",PARAY LE MONIAL,AH-430                    ,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\PAYS CHAROLAIS BRIONNAIS.png,X,X,COM DE COMMUNE DE PARAY,Propriétaire occupant,25/11/2003,RÉHABILITATION 2003/20004,OUI,18+1 PMR,"0","625", x ,"284",https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.45763970400732%2C4.116823045616167&z=17,X,X,?,46.4559169,4.1192435,./0.png
3.9694867,46.480119,"54",PISCINE / STADE NAUTIQUE DIGOIN,Rue de la Chevrette LA CRUE,"71160",DIGOIN,BP-242,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\CN DIG.png,"4",PA,COMMUNE DE DIGOIN   ,propriétaire occupant,01/01/1970,1 964,NON,COMMUNE 38+1 PMR,6 915,1 250,,17626 BASSIN JOUTE 3150 M² 62 m² appartement,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.484403529493235%2C4.436872154085036&z=18,X,"30001210973250   (112 kW pondéré)     lot1
JOUTE 12151085335216",X,46.480119,3.9694867,./0.png
4.2807501,46.4393703,"55",PISCINE CHAROLLES,"Rte de Viry, ","71120",Charolles,AD-130,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\CN CHAROLLES.jpg,,PA,COMMUNE DE CHAROLLES,Propriétaire occupant,01/01/1970,RENOVATION ANNEE?,NON,"0",3 156,"250",,3406  DONT BASSIN 440 M2,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.43983859923975%2C4.280466788637045&z=18, ,,,46.4393703,4.2807501,./0.png
4.110967,46.4532348,"56",PISCINE COUVERTE Paray,BOULEVARD HENRI REGNIER,"71600",PARAY LE MONIAL,AD-133,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\CN PLM HIVER.png,"2",PA / X,COM DE COMMUNE DE PARAY,Propriétaire occupant,09/06/1998,RENOVATION 2000-2001,NON,COMMUNE 70+2 PMR,11 640,1 100, X ,15 696,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.45342515783293%2C4.111387059604801&z=17,X,30001210365977      (91 kW pondéré),GI047794,46.4532348,4.110967,./0.png
4.1120962,46.4528116,"57",PISCINE D ÉTÉ Paray,BOULEVARD HENRI REGNIER,"71600",PARAY LE MONIAL,AD-133,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\CN PLM ETE.png,,,COM DE COMMUNE DE PARAY,,,RENOVATION 2001-2002,NON,,,"350", X ,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.452792040835796%2C4.113051066409308&z=18,X,30001210365977      (91 kW pondéré),".12167100000000",46.4528116,4.1120962,./0.png
3.97235,46.48033,"58",PISCINE EPHEMERE DIGOIN,PLACE DE LA GREVE,"71160",DIGOIN,,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\DIGOIN LE GRAND BAIN.jpg,,,X,,,,,,,,,,,,500 639 054 378 37   84 kWa, ,46.48033,3.97235,./0.png
4.096182,46.4191255,"59",PLATEFORME DECHETS VERT BON VIN PARAY LE MONIAL,LES BONS VINS,"71600",PARAY LE MONIAL,D485,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\LES BONS VINS.png,X,X,CC LE GRAND CHAROLAIS,Propriétaire occupant,31/07/2018,2 018,NON,"0",1 800,"30", X ,11302 ++ bassin confinement en cas incendie 1800 m3 ,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.419457775704736%2C4.09753814075362&z=18,X,X,,46.4191255,4.096182,./0.png
3.986444,46.4818483,"60",PORT DE PLAISANCE DIGOIN,"Rue du Port Campionnet Rive droite, ","71160",DIGOIN,domaine public fluvial,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\PORT DIGOIN.png,X,X,X,COT VNF,X,INCONNU,NON,27+1 PMR,,,,2125m² de plan d'eau,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.483433365016396%2C3.9874009879794414&z=18,X,X,,46.4818483,3.986444,./0.png
4.2757276,46.4366662,"61",RIAM CHAROLLES,"5,esplanade des Provins",71 120,CHAROLLES,AC-78,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\MULTI ACC + RIAM CHAROLLES.png,,,COMMUNE DE CHAROLLES,,,,,,,"75", X ,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.43681171346433%2C4.275193231613339&z=18, ,".12105400000000",X,46.4366662,4.2757276,./0.png
4.1104643,46.5277352,"62",RIAM ST VINCENT BRAGNY,le bourg,"71430",ST VINCENT BRAGNY, BP-77              BP-76              BP-121,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\RIAM ST VINCENT BRAGNY.png,X,X,COMMUNE DE ST VINCENT BRAGNY,Occupant à titre gratuit,01/01/1970,INCONNU,NON,5 DEVANT + 25 COTE COMMUNE,"0","24",MIS A DISPO PAR LA VILLE,1208 + 680 + 1612 = 3500 M²,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.52881001708272%2C4.108350861624128&z=17,X,X,X,46.5277352,4.1104643,./0.png
4.2728274,46.4379261,"63",SALLE REUNION RPA CHAROLLES,Les prés Fleuris 3. Route de génelard,"71120",CHAROLLES,AC- 187,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\RPA CHAROLLES.png,X,X,COMMUNAUTE DE COMMUNES DU CANTON DE CHAROLLES,Propriétaire non occupant,03/07/1990,1990-1992,NON,"16","0","300",MIS A DISPO GRATUIT,6 800,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.460026602023724%2C4.273695090074154&z=17,X,".12130800000000",X,46.4379261,4.2728274,./0.png
4.05411,46.46892,"64",SANITAIRES BARBERECHE,Lieu dit Barberèche,"71600",VITRY EN CHAROLLAIS,AE-202,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\BARBERECHE SANITAIRES.png,X,X,SYNDICAT INTERCOMMUNAL DE LA ZI DE VITRY EN C,Propriétaire occupant,26/02/1987,INCONNU,NON,PARKING ZA,15 710,"14", X ,25 370,https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.47032292431585%2C4.05228574019775&z=17,X,".12180300000000",,46.46892,4.05411,./0.png
4.1165587,46.4543851,"65",SIEGE CCLGC PARAY LE MONIAL,32 rue Desrichard,"71600",PARAY LE MONIAL,AE-501,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\SIEGE CCLGC.png,"5",W,CC LE GRAND CHAROLAIS,Propriétaire occupant,22/06/2017,INCONNU,OUI,10 PLACES DONT 2 ELEC + 1 PMR,"45","687", X ,"520",https://www.google.com/maps/d/u/1/edit?hl=fr&mid=1QGH0ZN8QljYPu9Qd7_qiDX7F9bS3qEso&ll=46.45450453356767%2C4.1163621318771515&z=18,X,30001210393870     (42 kW), ,46.4543851,4.1165587,./0.png
4.0989815,46.4676402,"66",SIEGE HIPPODROME BATIMENT MODULAIRE,BD DE L HIPPODROME,"71600",PARAY LE MONIAL,BM 254,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\SIEGE HIPPODROME CCLGC.png,,,CC LE GRAND CHAROLAIS,Propriétaire occupant,03/09/2021,,,,,"88",,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.467965875602424%2C4.099097224463795&z=19, ,300 012 130 863 49  cpteur 451, ,46.4676402,4.0989815,./0.png
4.0989815,46.4676402,"67",SIEGE HIPPODROME BATIMENT TECHNIQUE,BD DE L HIPPODROME,"71600",PARAY LE MONIAL,BM 254,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\SIEGE HIPPODROME CCLGC.png,,,CC LE GRAND CHAROLAIS,Propriétaire occupant,03/09/2021,,,,,1 134,,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.467965875602424%2C4.099097224463795&z=19, ,,,46.4676402,4.0989815,./0.png
4.0989815,46.4676402,"68",SIEGE HIPPODROME BATIMENT VENTE,BD DE L HIPPODROME,"71600",PARAY LE MONIAL,BM 254,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\SIEGE HIPPODROME CCLGC.png,,,CC LE GRAND CHAROLAIS,Propriétaire occupant,03/09/2021,,,,,"710",,,https://www.google.com/maps/d/u/0/edit?mid=1-6fh_29VCN0wnyvN2ZOCp0RrlBj89fw9&ll=46.467965875602424%2C4.099097224463795&z=19,X,X,,46.4676402,4.0989815,./0.png
3.85745,46.48513,"69",WC PUBLIC VOIE VERTE COULANGES,Lieu dit Mortillon,"3470",COULANGES,,\\192.168.16.22\e\QGIS\TECHNIQUE\BATIMENTS\PHOTOS INFRASTRUCTURES ET EQUIPEMENTS\sanitaire coulanges.png,,,,,,,,,,,,,,,".17336600000000",,46.48513,3.85745,./0.png
4.0576239,46.469609,"70",ZA BARBERECHE,ZA DE BARBERECHE,"71600",VITRY EN CHAROLLAIS,,,X,X,,,,1 973,x,parking za,15 700,x,,45 HECTARES DONT 1.57 HECTARES ESPACES VERTS,"https://www.google.com/maps/search/zac+barbereche+vitry+en+charollais/@46.4694051,4.0578521,745m/data=!3m1!1e3",X,"12128943475448 -
12129088193208 -
12129232911096",?,46.469609,4.0576239,./0.png
4.00728,46.48053,"71",ZAC LIGERVAL,ZAC LIGERVAL / DES CHARMES,"71600",DIGOIN,,,X,X,,,,2 002,x,parking zac,111 140,x,,120 HECTARES DONT ESPACES VERTS zone 1+2 31350 m² zone 3 : 27740 m² zone 4 : 14050 m² zone 5 : 11940 m² zone 6 12600 m² zone 7 13460 m² total : 11.114 HECTARES ,"https://www.google.com/maps/search/zac+ligerval+digoin/@46.4814015,4.0072031,2980m/data=!3m1!1e3",X,X,?,46.48053,4.00728,./0.png
4.30097,46.43989,"72",ZAC MOLAISE CHAROLLES,Molaize - EP-ZAC de Molaize,"71120",CHAROLLES,,,,,,,,,,,,,,,,,"121 965 267 460 38 - 
12189290796307
POMPE REFOULEMENT CHAROLLES 12190159104201",,46.43989,4.30097,./0.png
